Día/mes/año,TemperaturaMax (°c),TemperaturaMin (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboSeco (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Temperatura BulboHumedo (°c),Precipitacion (mm),Precipitacion (mm),DirecciondelViento 13h,VelocidaddelViento 13h (m/s)
22-Mar-2018,15.2,3.1,5.3,14.2,7.1,5.1,13.1,7.0,2.2,7.2,,
23-Mar-2018,12.2,4.1,6.3,11.2,5.1,6.2,10.1,5.2,2.2,9.3,,
24-Mar-2018,14.1,2.1,4.3,13.1,6.2,4.1,12,6.0,0.0,1.4,,
25-Mar-2018,16.2,5.1,7.1,14.2,6.4,7,13.1,6.2,0.0,0.0,,
26-Mar-2018,17.2,1.1,3.3,16.2,7.3,3.2,15.1,7.1,2.3,7.1,,
27-Mar-2018,14.2,3.1,5.3,12.3,7.1,5.2,11.2,7.0,3.1,0.0,,
28-Mar-2018,15.1,5.1,7.1,14.3,6.4,7,13.2,6.2,0.0,1.5,,
29-Mar-2018,18.2,1.2,3.2,16.1,8.1,3.1,15,8.0,0.0,0.0,,
30-Mar-2018,16.2,3.1,5.2,14.3,7.1,5.1,13.2,7.0,0.0,0.0,,
31-Mar-2018,18.2,1.1,3.3,16.2,8.1,3.1,15.2,8.0,0.0,0.0,,
